label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_200
https://www.sf-test1.com/de-de,0.45323,0.56336,4.39232,529317561,4,0,11.33106,141,141,1.26500,1.75900,2.70800,21.76000,45.21600,90.68800,90.68800,141
,0.18704,0.30078,1.25229,610196762,1,3,7.12075,949,952,0.03500,0.18400,1.65400,1.97700,43.61600,90.68800,90.68800,952
https://www.sf-test1.com/de-de/shop/register,0.40058,0.50985,3.12000,64286990,1,3,13.74391,136,139,0.27500,0.55400,0.93400,1.64700,88.44800,90.43200,90.43200,139
https://www.sf-test1.com/de-de/kamera/,0.00355,0.12228,0.12785,3979599,8,0,0.05354,137,137,0.05500,0.11500,0.19800,0.21300,0.27300,0.31400,0.31400,137
https://www.sf-test1.com/de-de/videoaufnahme/,0.05494,0.17523,0.18178,3974336,9,0,0.09523,136,136,0.04700,0.16500,0.29900,0.36400,0.41800,0.62700,0.62700,136
https://www.sf-test1.com/de-de/einsatzbereiche/,0.31723,0.43604,0.44193,4286461,6,0,3.09079,135,135,0.03500,0.16500,0.30000,0.34700,0.47200,36.19200,36.19200,135
https://www.sf-test1.com/de-de/so-gehts/,0.01477,0.13387,0.13744,3416469,10,0,0.07771,132,132,0.03600,0.11500,0.22200,0.27300,0.43500,0.53200,0.53200,132
https://www.sf-test1.com/de-de/shop/products,0.04345,0.14336,0.14505,935346,10,0,0.07328,132,132,0.05900,0.12900,0.25900,0.27200,0.34300,0.36900,0.36900,132
